year,month,Renmin_EPU,EPU
1988,7,194.7,
1988,8,222.4,
1988,9,144.7,
1988,10,198.7,
1988,11,121.1,
1988,12,63.7,
1989,1,99.4,
1989,2,131.3,
1989,3,107.2,
1989,4,101.5,
1989,5,95.3,
1989,6,44,
1989,7,153.7,
1989,8,56.6,
1989,9,115.8,
1989,10,106.1,
1989,11,56.3,
1989,12,81.4,
1990,1,89,
1990,2,263.3,
1990,3,72.4,
1990,4,74.9,
1990,5,122.6,
1990,6,55.1,
1990,7,24.7,
1990,8,103.9,
1990,9,14.5,
1990,10,163.4,
1990,11,79.3,
1990,12,96,
1991,1,90.5,
1991,2,102.9,
1991,3,0,
1991,4,117.6,
1991,5,68,
1991,6,112.3,
1991,7,78.3,
1991,8,101,
1991,9,25.3,
1991,10,0,
1991,11,88,
1991,12,62.9,
1992,1,157.1,
1992,2,119.8,
1992,3,81.8,
1992,4,110,
1992,5,125.3,
1992,6,74.2,
1992,7,57,
1992,8,55.3,
1992,9,123.1,
1992,10,86.8,
1992,11,32.8,
1992,12,139.7,
1993,1,73.3,
1993,2,126.1,
1993,3,106.4,
1993,4,96.2,
1993,5,70.8,
1993,6,126.4,
1993,7,112.9,
1993,8,99.6,
1993,9,40.4,
1993,10,48.3,
1993,11,77.1,
1993,12,190,
1994,1,131.4,
1994,2,59.1,
1994,3,156.9,
1994,4,164.2,
1994,5,39,
1994,6,150.2,
1994,7,117.3,
1994,8,118.4,
1994,9,130,
1994,10,82.2,
1994,11,135,
1994,12,117.1,
1995,1,153.3,192.911911
1995,2,98,193.987854
1995,3,166.8,88.22703552
1995,4,79.3,131.0347137
1995,5,24.1,177.0968628
1995,6,97.8,79.09623718
1995,7,226.5,61.7326889
1995,8,85.5,52.98312378
1995,9,144.2,76.82008362
1995,10,80.8,153.8712921
1995,11,161.5,100.0615005
1995,12,63.3,143.116684
1996,1,65.1,128.4294586
1996,2,120.7,111.1581879
1996,3,68.1,69.44067383
1996,4,115.7,63.35744095
1996,5,84.1,84.17336273
1996,6,65.9,36.83880997
1996,7,38,47.68481064
1996,8,96.1,55.95354462
1996,9,28.6,51.04103088
1996,10,104.7,53.61976242
1996,11,41.8,85.29986572
1996,12,76.8,69.18518829
1997,1,62.2,88.32370758
1997,2,46.3,115.3486786
1997,3,157.1,59.41058731
1997,4,78.7,123.271347
1997,5,148,20.57983017
1997,6,83.1,62.72386932
1997,7,82.7,42.59028244
1997,8,89.8,27.1260891
1997,9,152.1,70.8626709
1997,10,169.7,83.15766144
1997,11,133.4,69.05574799
1997,12,64.1,20.72246933
1998,1,165.7,77.70583344
1998,2,231.3,98.68479919
1998,3,100.9,64.92120361
1998,4,77.8,19.43977737
1998,5,342.8,41.80421829
1998,6,204.8,68.2985611
1998,7,264.3,100.4360504
1998,8,181.1,38.22539902
1998,9,287.6,74.32969666
1998,10,125.7,128.1186829
1998,11,164.7,51.11582565
1998,12,171.1,69.66882324
1999,1,260.1,123.6696548
1999,2,212.1,98.3240509
1999,3,309.7,82.27812958
1999,4,287.2,16.56603241
1999,5,299,116.0393906
1999,6,188.4,101.5225067
1999,7,179.5,66.90920258
1999,8,271.3,39.80082321
1999,9,330.9,102.3025284
1999,10,140.1,78.27619934
1999,11,116.4,62.01696396
1999,12,245.9,36.99378586
2000,1,59,44.00444031
2000,2,15.9,9.066708565
2000,3,46.5,44.39913559
2000,4,28.3,35.44141388
2000,5,31.4,71.13580322
2000,6,43.2,36.85697556
2000,7,42.7,18.60740471
2000,8,27.4,27.14086533
2000,9,31.5,58.01004791
2000,10,42.3,70.60662842
2000,11,10.1,140.3679657
2000,12,48.5,112.6115952
2001,1,52.6,97.32544708
2001,2,40.7,65.15024567
2001,3,58.2,114.6284561
2001,4,26.1,107.1836014
2001,5,27.7,95.76116943
2001,6,41.3,54.47955322
2001,7,30.3,118.1753998
2001,8,38.8,131.4792328
2001,9,43.5,202.8777161
2001,10,51.1,297.2353516
2001,11,53.3,128.7835083
2001,12,60.7,136.8471985
2002,1,62.4,159.8944397
2002,2,40.9,163.7011566
2002,3,54.1,140.2053528
2002,4,45.9,117.4854813
2002,5,47,33.7605896
2002,6,30.4,116.777504
2002,7,54.3,88.06827545
2002,8,44.1,140.5309753
2002,9,55.5,188.8886719
2002,10,56.7,147.9945374
2002,11,59.9,109.7590942
2002,12,91,85.20969391
2003,1,46.2,141.7656555
2003,2,28,88.59653473
2003,3,71.2,184.7860107
2003,4,101.6,124.3101959
2003,5,68.8,102.0359116
2003,6,55,87.32002258
2003,7,85.3,92.37224579
2003,8,61.1,89.33422852
2003,9,49.7,127.8212738
2003,10,62.9,106.5136337
2003,11,38.9,37.15930557
2003,12,53.1,97.13572693
2004,1,55.9,101.1584015
2004,2,57.6,46.90383148
2004,3,47.9,85.35299683
2004,4,58.9,43.1658287
2004,5,37.1,137.9871979
2004,6,51.1,59.12108612
2004,7,47.4,50.48696136
2004,8,44.3,88.03998566
2004,9,34.6,92.03104401
2004,10,61.9,107.5005188
2004,11,48.7,93.9905014
2004,12,73.2,96.87821198
2005,1,48.8,75.73043823
2005,2,39.7,32.59744644
2005,3,41.2,99.00125122
2005,4,79.5,50.36788559
2005,5,23.7,105.3501663
2005,6,46.8,42.97225952
2005,7,61.6,35.55521011
2005,8,59.4,92.99913788
2005,9,70,68.26113892
2005,10,52.5,32.72947693
2005,11,35.5,86.75798035
2005,12,64.1,57.22021103
2006,1,97.8,83.60843658
2006,2,63.5,64.71510315
2006,3,55.1,84.22509766
2006,4,59.4,133.5046997
2006,5,37.9,66.02268982
2006,6,47,110.9243469
2006,7,55.9,42.70708466
2006,8,59.3,36.35945511
2006,9,24.9,71.5186615
2006,10,70.8,74.12514496
2006,11,59,43.89590454
2006,12,64.1,67.6783905
2007,1,29,80.1708374
2007,2,39.8,64.65911865
2007,3,60.2,70.07432556
2007,4,41.1,68.3313446
2007,5,37,47.79152679
2007,6,44.4,77.08946228
2007,7,58.8,136.7205811
2007,8,50.1,56.73624039
2007,9,59,90.57120514
2007,10,55.1,92.54260254
2007,11,46.7,108.4284668
2007,12,84.1,93.82692719
2008,1,82,142.8052368
2008,2,54.4,157.7542725
2008,3,135.9,174.0117188
2008,4,91.6,145.5144958
2008,5,67.6,100.6835785
2008,6,62.9,157.0119324
2008,7,126,152.1179199
2008,8,128.4,205.6284485
2008,9,103.9,298.3870239
2008,10,150.5,187.5682373
2008,11,126.1,194.23703
2008,12,125.1,232.7663879
2009,1,133.9,223.546875
2009,2,102.9,170.9781342
2009,3,116.1,184.4957581
2009,4,81.1,152.9133301
2009,5,57.3,91.16470337
2009,6,179.8,131.5288086
2009,7,134.8,103.9319153
2009,8,121.9,92.43109131
2009,9,190.3,160.9516449
2009,10,121.3,75.79626465
2009,11,123.1,68.89027405
2009,12,103.6,74.85823059
2010,1,119.2,95.7820816
2010,2,106,103.4443741
2010,3,143.9,90.39569855
2010,4,95,46.74542999
2010,5,106.9,156.5486145
2010,6,138.5,130.013504
2010,7,127.5,70.81567383
2010,8,95.2,104.1029892
2010,9,82.1,121.5974274
2010,10,97.9,74.11595917
2010,11,93.3,82.42306519
2010,12,125.8,110.6732407
2011,1,155,172.6804047
2011,2,59,46.08258057
2011,3,120.8,131.2483673
2011,4,135.2,153.0111389
2011,5,74.1,26.14408493
2011,6,102.7,39.5900116
2011,7,99.8,207.3971863
2011,8,140.3,186.7314758
2011,9,142.5,158.0556335
2011,10,157.7,238.70961
2011,11,161.9,363.5231018
2011,12,159.6,324.4626465
2012,1,120.4,298.7026367
2012,2,139.2,236.0895233
2012,3,136.8,242.7279968
2012,4,126.3,155.8289337
2012,5,133.2,216.2519531
2012,6,139,304.5527344
2012,7,120.4,301.5229187
2012,8,78.8,215.3175201
2012,9,120.5,161.9789886
2012,10,113.1,300.7020874
2012,11,122.3,306.3358459
2012,12,142.1,192.7684021
2013,1,130.2,208.5545197
2013,2,84.3,162.2560272
2013,3,90.5,83.76907349
2013,4,119.7,147.9531708
2013,5,71.5,82.95886993
2013,6,102.7,40.4032135
2013,7,76.2,115.4674759
2013,8,100.9,139.7595367
2013,9,100.9,69.790802
2013,10,153.1,97.59776306
2013,11,120.6,81.02541351
2013,12,124.2,137.2324524
2014,1,103.5,103.4443741
2014,2,70.6,66.52954865
2014,3,100,134.9426117
2014,4,129.5,84.26825714
2014,5,77.4,80.76277161
2014,6,105.8,102.2316513
2014,7,94.6,127.4802856
2014,8,77.6,151.0019073
2014,9,107.9,185.7619019
2014,10,99.8,240.4953156
2014,11,120.1,112.7389832
2014,12,58.9,93.96096039
2015,1,98,232.2151031
2015,2,95.1,117.68367
2015,3,116.3,82.09329224
2015,4,63.9,105.3183517
2015,5,68.3,127.5528107
2015,6,95.5,123.3431396
2015,7,133.6,268.709198
2015,8,60.2,224.0585938
2015,9,96.4,393.2341003
2015,10,87.3,244.8679504
2015,11,96.1,104.7490768
2015,12,94.5,151.6144867
2016,1,127.5,261.9420776
2016,2,108.1,269.0191956
2016,3,155.2,323.1558533
2016,4,165.2,286.1773376
2016,5,117.5,260.2574768
2016,6,131.5,357.2088013
2016,7,112.4,558.222168
2016,8,116.3,288.7802124
2016,9,147.6,388.7496033
2016,10,106.8,261.8988953
2016,11,133.1,475.670929
2016,12,130.6,646.9110107
2017,1,306,694.8494263
2017,2,176.4,464.5228271
2017,3,349.1,533.3043823
2017,4,174.2,322.3442688
2017,5,130.8,451.9785156
2017,6,227.7,328.5535889
2017,7,228.2,162.6932831
2017,8,164.7,265.2581177
2017,9,206.4,314.0012207
2017,10,142.5,291.5835876
2017,11,206,268.0438538
2017,12,167.7,269.3547668
2018,1,265.1,122.9374008
2018,2,149.6,211.7801819
2018,3,254.1,245.551712
2018,4,241.7,291.3069763
2018,5,210.8,374.1038208
2018,6,203.1,465.4168396
2018,7,395.7,561.0261841
2018,8,269.5,502.7537231
